ID  ? t  f
131 1 5 0
132 0 0 5
133 0 0 5
134 1 4 1
135 1 5 0
136 1 5 0
137 1 5 0
138 1 5 0
139 1 5 0
140 1 5 0
141 1 5 0
142 0 1 4
143 1 5 0
144 0 0 5
145 1 3 2
146 1 5 0
147 1 3 2
148 1 5 1
149 1 5 0
150 1 5 0
151 1 5 0
152 1 4 1
153 0 1 4
154 1 5 0
155 0 1 4
156 1 5 0
157 0 2 3
158 0 2 3
159 0 0 5
160 1 5 0
161 1 5 0
162 1 5 0
163 1 5 0
164 0 0 5
165 1 3 1
166 1 5 0
167 1 5 0
168 1 3 2
169 0 0 5
170 1 4 1
171 1 5 0
172 1 5 0
173 1 4 1
174 1 5 0
175 1 6 0
176 1 3 2
177 1 5 0
178 1 5 0
179 1 5 0
180 0 0 5
181 1 5 0
182 1 3 2
183 1 5 0
184 1 5 0
185 0 2 3
186 0 0 5
187 0 0 5
188 1 5 0
189 0 2 3
190 1 5 0
191 0 2 3
192 1 5 0
193 0 0 5
194 1 4 2
195 0 1 4
196 1 5 0
197 0 1 4
198 1 4 1
199 1 6 0
200 0 2 5
201 1 5 0
202 0 0 5
203 0 0 5
204 0 0 5
205 0 1 4
206 0 1 4
207 1 5 0
208 0 2 4
209 1 5 0
210 0 1 4
211 1 5 0
212 1 5 0
213 1 3 2
214 1 5 0
215 1 5 0
216 1 5 0
217 0 0 5
218 1 5 0
219 1 5 0
220 0 1 4
221 0 0 5
222 1 4 2
223 1 3 2
224 0 0 5
225 1 5 0
226 1 5 0
227 1 5 0
228 0 1 4
229 1 5 0
230 0 0 5
231 1 5 0
232 1 4 1
233 1 5 0
234 1 5 0
235 1 5 0
236 0 1 4
237 1 5 0
238 0 1 4
239 1 3 2
240 1 5 0
241 1 5 0
242 1 5 0
243 1 3 2
244 1 5 0
245 1 7 0
246 0 2 3
247 1 5 0
248 1 3 2
249 1 5 0
250 0 0 5
251 0 0 5
252 1 5 0
253 1 3 2
254 0 0 5
255 0 1 4
256 1 5 0
257 0 2 3
258 1 5 0
259 1 5 0
260 1 5 0
261 1 5 0
262 0 1 4
263 1 5 0
264 0 2 3
265 0 2 3
266 0 0 5
267 0 0 5
268 1 5 0
269 1 5 0
270 1 5 0
271 1 3 2
272 1 6 0
273 1 5 0
274 1 5 0
275 1 6 0
276 0 2 3
277 1 4 1
278 1 5 0
279 1 5 0
280 0 0 5
281 1 5 0
282 1 5 0
283 1 3 2
284 1 5 0
285 1 5 0
286 0 0 5
287 1 5 0
288 0 1 4
289 1 5 0
290 0.5 3 3
291 0 0 5
292 1 6 0
293 1 6 0
294 0 0 5
295 1 3 2
296 1 3 2
297 0 0 5
298 0 1 4
299 0 0 5
300 1 5 0
301 0.5 2 2
302 1 5 0
303 1 5 0
304 0 0 5
305 0 0 6
306 1 5 0
307 0 2 3
308 0 0 5
309 1 4 1
310 1 5 0
311 0 2 3
312 0 0 5
313 0 0 5
314 1 5 0
315 0 0 5
316 1 4 1
317 0 0 5
318 1 5 0
319 0 0 5
320 1 5 0
321 1 5 0
322 0 0 5
323 0 0 5
324 0 0 5
325 0 0 5
326 0 0 5
327 1 5 0
328 1 5 0
329 0 1 4
330 1 5 0
331 0 1 4
332 0 0 5
333 1 5 0
334 0 0 5
335 1 6 0
336 0 1 5
337 0 0 5
338 0 1 4
339 0 0 5
340 0 0 5
341 1 5 0
342 1 5 0
343 1 4 1
344 1 5 0
345 1 5 0
346 1 5 0
347 1 5 0
348 0 0 5
349 1 4 1
350 1 5 0
351 1 5 0
352 0 0 5
353 1 5 0
354 0 2 3
355 1 5 0
356 1 5 0
357 1 5 0
358 0 2 4
359 0 0 5
360 0 0 5
361 1 5 0
362 1 5 0
363 1 5 0
364 0 0 5
365 1 5 0
366 1 5 0
367 1 5 0
368 1 4 2
369 0 0 5
370 1 4 1
371 0 1 4
372 0 0 5
373 0 1 4
374 1 5 0
375 0 0 3
376 1 5 0
377 1 5 0
378 1 5 0
379 0 0 6
380 0 1 3
381 1 5 0
382 0 0 5
383 1 5 0
384 0 1 4
385 1 5 0
386 0 0 5
387 1 5 0
388 1 5 0
389 1 5 0
390 0 0 5
391 0 0 5
392 1 5 0
393 0 2 3
394 1 5 0
395 1 5 0
396 1 5 0
397 0 0 5
398 1 4 1
399 0 0 5
400 0 0 5
401 1 5 0
402 1 3 2
403 0 0 6
404 1 3 2
405 1 5 0
406 1 5 0
407 1 5 0
408 0 2 3
409 0 0 5
410 1 5 0
411 0 1 4
412 1 5 0
413 1 5 0
414 0 1 4
415 0 0 5
416 1 5 0
417 1 5 0
418 1 5 0
419 1 6 0
420 1 3 2
421 1 5 0
422 1 5 0
423 1 3 2
424 1 5 0
425 1 5 0
426 1 5 0
427 1 5 0
428 0 0 5
429 1 5 0
430 1 5 0
431 1 5 0
432 1 5 0
433 1 5 0
434 1 5 0
435 1 5 0
436 1 5 0
437 1 5 0
438 1 5 0
439 1 3 2
440 1 5 0
441 1 6 0
442 0 2 3
443 0 0 5
444 0 1 4
445 0 0 5
446 1 6 0
447 1 5 0
448 1 3 2
449 1 6 0
450 1 5 0
451 0 1 4
452 0 0 5
453 1 5 0
454 1 5 0
455 1 5 0
456 0 0 5
457 1 5 0
458 1 5 0
459 1 5 0
460 1 5 0
461 0 0 5
462 0 0 5
463 1 5 0
464 0 0 5
465 0 1 4
466 1 5 0
467 0 0 4
468 0 0 5
469 0 0 6
470 1 4 1
471 0 2 3
472 0 0 6
473 1 5 0
474 1 5 0
475 1 5 0
476 1 5 0
477 1 5 0
478 0 1 5
479 1 5 0
480 1 5 0
481 0 0 5
482 1 5 0
483 0 0 5
484 1 4 2
485 1 4 1
486 1 3 2
487 0 1 5
488 1 5 0
489 1 5 0
490 1 6 0
491 1 4 1
492 1 5 0
493 1 5 0
494 0 2 3
495 1 5 0
496 1 5 0
497 1 4 1
498 1 5 0
499 1 5 0
500 0 2 3
501 0 0 5
502 1 5 0
503 1 5 0
504 1 3 2
505 0 0 5
506 0.5 3 3
507 0 0 5
508 1 5 0
509 1 5 0
510 1 5 0
511 1 5 0
512 1 5 0
513 1 5 0
514 1 5 0
515 1 5 0
516 1 5 0
517 1 5 0
518 1 5 0
519 1 4 1
520 0 0 5
521 1 6 0
522 1 5 0
523 1 5 0
524 0 0 5
525 1 5 0
526 0 0 5
527 1 5 0
528 1 5 0
529 0 2 3
530 0 0 5
531 1 5 0
532 1 3 2
533 0 1 4
534 1 5 0
535 1 5 0
536 1 5 0
537 0 0 5
538 1 5 0
539 1 5 0
540 1 5 0
541 0 0 6
542 1 6 0
543 0 0 5
544 1 5 0
545 0 1 4
546 0 2 3
547 1 5 0
548 1 4 1
549 0 0 5
550 0 0 5
551 1 5 0
552 1 5 0
553 0 0 5
554 1 5 0
555 1 5 0
556 0 1 4
557 1 5 0
558 1 5 0
559 1 5 0
560 0 0 5
561 1 5 0
562 1 5 0
563 0 1 3
564 0 0 5
565 1 5 0
566 1 5 0
567 0 1 4
568 1 5 0
569 1 5 0
570 0 2 3
571 1 5 0
572 0 0 5
573 1 5 0
574 0 0 5
575 1 5 0
576 0 0 5
577 1 5 0
578 1 5 0
579 1 5 0
580 0 0 5
581 0 0 5
582 1 4 1
583 0 0 5
584 1 5 0
585 1 3 2
586 1 5 0
587 1 5 0
588 0 0 5
589 0 0 5
590 1 5 0
591 1 5 0
592 0 1 4
593 1 5 0
594 1 5 0
595 0 1 4
596 1 6 0
597 0 0 5
598 1 5 0
599 1 5 0
600 1 5 0
601 0 0 5
602 1 3 2
603 1 5 0
604 1 5 0
605 1 5 0
606 1 5 0
607 1 5 0
608 0 0 5
609 1 5 0
610 0 2 3
611 1 5 0
612 1 5 0
613 1 5 0
614 1 5 0
615 1 5 0
616 1 5 0
617 1 5 0
618 0 0 5
619 1 4 1
620 0 0 5
621 1 6 0
622 0 0 6
623 0 1 4
624 0 0 6
625 1 4 2
626 1 5 0
627 1 5 0
628 1 5 0
629 1 5 0
630 1 5 0
631 1 3 2
632 1 5 0
633 0 0 5
634 1 5 0
635 1 5 0
636 0 0 5
637 1 5 0
638 1 5 0
639 0 0 5
640 1 5 0
641 0 0 5
642 1 5 0
643 1 6 0
644 1 5 0
645 1 5 0
646 0 0 5
647 0 1 4
648 1 5 0
649 1 5 0
650 1 3 2
651 1 5 0
652 0 0 5
653 1 5 0
654 0 2 3
655 1 5 0
656 0 2 3
657 0 0 5
658 0 2 3
659 1 5 0
660 1 5 0
661 0.5 2 2
662 1 5 0
663 1 5 0
664 0 1 4
665 1 5 0
666 1 6 0
667 0 0 5
668 0 0 5
669 0 0 5
670 0 1 4
671 1 5 0
672 1 5 0
673 1 6 0
674 1 6 0
675 1 3 2
676 1 5 0
677 1 5 0
678 1 5 0
679 0 0 5
680 1 5 0
681 0 0 5
682 0 0 5
683 1 5 0
684 1 5 0
685 0 0 5
686 1 5 0
687 1 5 0
688 0 0 5
689 1 5 0
690 1 5 0
691 0 0 5
692 0 1 4
693 0 0 5
694 0 0 5
695 0 2 3
696 0 1 4
697 0 0 4
698 0 0 5
699 1 5 0
700 1 3 2
701 0 0 5
702 0 0 5
703 0 0 5
704 1 4 1
705 1 5 0
706 0 0 5
707 1 5 0
708 0 1 4
709 1 5 0
710 1 5 0
711 0 2 3
712 1 5 0
713 1 4 1
714 1 5 0
715 0 1 4
716 1 5 0
717 1 5 0
718 1 5 0
719 0 0 5
720 1 5 0
721 0 0 5
722 1 5 0
723 1 6 0
724 1 3 2
725 1 5 0
726 1 5 0
727 1 5 0
728 1 5 0
729 0 1 4
730 1 3 2
731 1 5 0
732 0 1 4
733 1 5 0
734 1 5 0
735 0 1 4
736 0 2 3
737 0 0 5
738 1 5 0
739 0 0 5
740 1 3 2
741 0 2 3
742 1 5 0
743 0 0 5
744 0 1 4
745 1 5 0
746 1 5 0
747 1 5 0
748 1 5 0
749 1 5 0
750 0 2 3
751 1 5 0
752 1 5 0
753 1 5 0
754 1 5 0
755 0 2 3
756 1 5 0
757 1 5 0
758 1 5 0
759 1 5 0
760 0 1 4
761 0 0 5
762 1 5 0
763 0 1 4
764 0 0 5
765 0 0 5
766 1 6 0
767 1 5 0
768 1 5 0
769 0 0 5
770 0 0 5
771 0 0 5
772 1 5 0
773 1 5 0
774 1 6 0
775 1 5 0
776 1 5 0
777 0 2 3
778 0 0 5
779 1 5 0
780 1 3 2
781 1 5 0
782 1 3 1
783 0 2 3
784 1 5 0
785 0 1 4
786 1 3 2
787 1 3 2
788 0 1 4
789 1 5 0
790 1 5 0
791 1 5 0
792 1 6 0
793 0 0 5
794 0 2 3
795 1 5 0
796 0 1 4
797 1 4 1
798 0 0 5
799 1 4 1
800 0 2 3
801 0 1 4
802 1 5 0
803 1 5 0
804 1 5 0
805 0 1 4
806 1 5 0
807 1 5 0
808 0 0 5
809 1 5 0
810 1 5 0
811 0 1 4
812 0 1 4
813 1 5 0
814 0 0 5
815 1 5 0
816 1 5 0
817 1 3 2
818 1 5 0
819 0 1 4
820 0 0 5
821 1 5 0
822 1 3 2
823 1 3 2
824 1 5 0
825 0 0 5
826 0 0 5
827 1 5 0
828 0 0 5
829 1 5 0
830 1 3 2
831 0 0 4
832 1 5 0
833 1 5 0
834 1 5 0
835 0 3 4
836 1 5 0
837 1 5 0
838 1 5 0
839 1 5 0
840 1 5 0
841 0 0 5
842 1 3 2
843 1 5 0
844 1 5 0
845 1 5 0
846 1 5 0
847 1 5 0
848 1 6 0
849 1 5 0
850 1 4 1
851 1 5 0
852 0 1 4
853 1 5 0
854 1 5 0
855 1 3 2
856 0 0 5
857 1 3 2
858 1 3 2
859 1 5 0
860 1 5 0
861 1 5 0
862 1 5 0
863 1 5 0
864 0 0 5
865 1 5 0
866 1 5 0
867 1 5 0
868 1 5 0
869 0 2 3
870 1 5 0
871 1 5 0
872 1 6 0
873 1 5 0
874 1 5 0
875 0 2 3
876 1 5 0
877 0 0 6
878 1 5 0
879 1 4 1
880 1 5 0
881 1 5 0
882 1 5 0
883 1 4 1
884 1 5 0
885 0 2 3
886 1 5 0
887 0 0 5
888 1 5 0
889 0 0 5
890 0 0 5
891 1 5 0
892 0 1 4
893 1 5 0
894 0 0 6
895 1 5 0
896 1 5 0
897 1 5 0
898 0 0 5
899 0 1 4
900 0 1 4
901 1 5 0
902 0 0 5
903 1 5 0
904 0 0 5
905 1 6 0
906 0 0 5
907 0 2 3
908 1 6 0
909 1 5 0
910 1 5 0
911 1 5 0
912 1 5 0
913 0 1 4
914 1 5 0
915 1 5 0
916 0 0 5
917 0 1 4
918 1 5 0
919 0 0 5
920 1 5 0
921 1 6 0
922 0 2 3
923 0 0 5
924 1 3 2
925 1 6 0
926 1 5 0
927 0 2 3
928 1 5 0
929 0 0 5
930 1 6 0
931 1 5 0
932 1 5 0
933 1 5 1
934 1 5 0
935 0 1 4
936 0 2 3
937 1 5 0
938 1 5 0
939 0 1 4
940 1 5 0
941 1 5 0
942 1 4 1
943 1 4 1
944 0 0 6
945 1 5 0
946 1 5 0
947 1 5 0
948 1 4 1
949 1 5 0
950 1 5 0
951 0 0 5
952 0 2 3
953 0 0 5
954 1 5 0
955 1 3 2
956 1 5 0
957 1 5 0
958 1 5 0
959 0 2 3
960 1 5 0
961 0 2 3
962 1 5 0
963 1 5 0
964 0 2 3
965 0 2 3
966 0 1 4
967 0 1 4
968 1 4 1
969 1 5 0
970 0 2 3
971 1 5 0
972 0 2 3
973 1 5 0
974 1 4 1
975 0 0 6
976 1 4 1
977 0 1 4
978 1 5 0
979 0 1 5
980 1 5 0
981 0 0 5
982 0 1 4
983 1 5 0
984 1 5 0
985 0 0 5
986 0 1 4
987 1 3 2
988 1 5 0
989 0 0 5
990 0 1 4
991 1 5 0
992 1 5 0
993 1 5 0
994 1 5 0
995 1 5 0
996 1 5 0
997 0 1 4
998 1 6 0
999 1 5 0
1000 1 5 0
1001 1 5 0
1002 0 1 4
1003 1 3 2
1004 1 5 0
1005 0 0 5
1006 1 5 0
1007 1 5 0
1008 1 5 0
1009 0 2 3
1010 1 5 0
1011 0 1 4
1012 1 5 0
1013 0 2 3
1014 0 1 4
1015 1 5 0
1016 0 0 5
1017 0 2 3
1018 1 4 1
1019 1 5 0
1020 1 5 0
1021 0 0 5
1022 1 5 0
1023 1 5 0
1024 1 6 0
1025 0 0 5
1026 1 5 0
1027 0 0 5
1028 0 2 3
1029 0 0 5
1030 1 5 0
1031 1 5 0
1032 0 0 5
1033 0 0 5
1034 1 5 0
1035 0 0 5
1036 1 5 0
1037 0 2 3
1038 1 6 0
1039 1 6 0
1040 0 0 5
1041 1 5 0
1042 0 1 4
1043 1 5 0
1044 0 2 3
1045 0 2 3
1046 1 6 0
1047 1 5 0
1048 0 1 4
1049 0 2 3
1050 1 5 0
1051 1 3 2
1052 0 0 6
1053 1 6 0
1054 1 5 0
1055 1 5 0
1056 1 5 0
1057 1 5 0
1058 0 0 5
1059 1 5 0
1060 1 3 2
1061 1 5 0
1062 1 5 0
1063 0 0 5
1064 0 0 5
1065 1 5 0
1066 0 0 5
1067 1 5 0
1068 1 5 0
1069 1 6 0
1070 0 1 4
1071 1 3 2
1072 0.5 3 3
1073 1 5 0
1074 1 4 1
1075 1 6 0
1076 1 5 0
1077 1 5 0
1078 1 5 0
1079 0 2 3
1080 0 1 4
1081 1 5 0
1082 1 5 0
1083 0 0 5
1084 0 1 4
1085 1 3 2
1086 1 4 1
1087 1 5 0
1088 0 0 5
1089 1 3 2
1090 0 0 5
1091 1 3 2
1092 0 1 4
1093 1 3 2
1094 1 5 0
1095 1 5 0
1096 1 5 0
1097 0 0 5
1098 1 5 0
1099 1 5 0
1100 1 5 0
1101 0 0 5
1102 0 0 5
1103 1 4 0
1104 0 1 4
1105 0 0 5
1106 0 0 5
1107 0 1 4
1108 1 5 0
1109 0.5 3 3
1110 1 5 0
1111 1 3 2
1112 0 0 5
1113 1 3 2
1114 1 5 0
1115 0 0 5
1116 1 5 0
1117 0 0 5
1118 1 5 0
1119 1 5 0
1120 1 6 0
1121 1 5 0
1122 1 5 0
1123 0 1 4
1124 1 5 0
1125 0 1 4
1126 1 5 0
1127 1 7 0
1128 1 5 0
1129 1 5 0
1130 0 2 3
1131 1 3 2
1132 0 0 5
1133 1 6 0
1134 0 2 3
1135 0 0 5
1136 1 5 0
1137 1 5 0
1138 1 5 0
1139 1 3 2
1140 1 4 1
1141 1 6 0
1142 1 5 0
1143 1 5 0
1144 1 5 0
1145 1 5 0
1146 1 5 0
1147 1 5 0
1148 0 0 5
1149 1 5 0
1150 1 3 2
1151 0 1 4
1152 0 1 4
1153 0 2 3
1154 0 0 5
1155 1 5 0
1156 1 5 0
1157 1 3 2
1158 0 1 4
1159 1 5 0
1160 1 4 1
1161 1 3 2
1162 1 5 0
1163 0 1 4
1164 1 5 0
1165 1 5 0
1166 0 1 4
1167 0 0 5
1168 1 5 0
1169 0 1 4
1170 1 5 0
1171 0 0 6
1172 0 0 5
1173 1 5 0
1174 1 5 0
1175 1 5 0
1176 1 5 0
1177 1 5 0
1178 1 4 1
1179 1 5 0
1180 1 5 0
1181 1 5 0
1182 1 5 0
1183 1 5 0
1184 1 5 0
1185 1 5 0
1186 1 5 0
1187 0 0 5
1188 1 5 0
1189 0 0 5
1190 0 1 4
1191 1 5 0
1192 0 1 4
1193 0 0 5
1194 0 1 4
1195 1 5 0
1196 1 5 0
1197 0 1 4
1198 1 5 0
1199 1 5 0
1200 0 2 3
1201 1 4 1
1202 1 5 0
1203 1 5 0
1204 1 5 0
1205 1 5 0
1206 1 5 0
1207 1 5 0
1208 0 1 5
1209 1 5 0
1210 0 2 5
1211 0 2 3
1212 0 0 5
1213 1 5 0
1214 0 0 5
1215 1 4 1
1216 1 5 0
1217 1 5 0
1218 0 1 4
1219 0 0 5
1220 0 0 6
1221 1 5 0
1222 1 5 0
1223 1 5 0
1224 1 5 0
1225 1 5 0
1226 0 1 4
1227 1 5 0
1228 0 0 5
1229 1 5 0
1230 0 2 3
1231 1 5 0
1232 0 1 4
1233 1 5 0
1234 1 5 0
1235 0 2 3
1236 1 5 0
1237 0 1 4
1238 1 5 0
1239 1 5 0
1240 1 5 0
1241 1 5 0
1242 0 0 5
1243 1 5 0
1244 0 0 5
1245 1 5 0
1246 1 5 0
1247 1 5 0
1248 1 5 0
1249 1 3 2
1250 1 5 0
1251 1 5 0
1252 1 5 0
1253 1 5 0
1254 1 5 0
1255 0 0 5
1256 0 0 5
1257 1 5 0
1258 1 5 0
1259 1 5 0
1260 1 5 0
1261 0 1 4
1262 1 5 0
1263 1 5 0
1264 1 5 0
1265 1 5 0
1266 0 0 5
1267 1 5 0
1268 1 5 0
1269 0 0 5
1270 0 0 5
1271 1 5 0
1272 0 0 5
1273 1 5 0
1274 0 0 5
1275 1 5 0
1276 1 5 0
1277 1 5 0
1278 0 1 4
1279 1 5 0
1280 0 0 5
1281 1 5 0
1282 1 5 0
1283 1 3 2
1284 1 5 0
1285 1 5 0
1286 1 5 0
1287 1 3 2
1288 1 5 0
1289 1 4 2
1290 1 5 0
1291 1 5 0
1292 1 5 0
1293 0 0 5
1294 0 0 6
1295 1 5 0
1296 1 5 0
1297 0 1 4
1298 0 1 4
1299 1 5 0
1300 1 5 0
1301 1 6 0
1302 1 5 0
1303 0 0 5
1304 1 5 0
1305 1 5 0
1306 0 0 5
1307 1 5 0
1308 1 5 0
1309 1 5 0
1310 1 5 0
1311 1 5 0
1312 0 2 3
1313 1 4 2
1314 0 0 5
1315 1 5 0
1316 1 6 0
1317 0 0 5
1318 0 2 3
1319 0 0 5
1320 1 5 0
1321 0 0 5
1322 1 5 0
1323 0 0 5
1324 0 0 5
1325 1 5 0
1326 1 5 0
1327 1 5 0
1328 0 1 5
1329 1 5 0
1330 0 2 3
1331 0 1 5
1332 1 3 2
1333 1 5 0
1334 0 0 5
1335 0 1 4
1336 1 5 0
1337 0 0 5
1338 1 5 0
1339 1 5 0
1340 1 4 1
1341 0 1 4
1342 0 1 4
1343 1 5 0
1344 0 0 5
1345 1 5 0
1346 0 1 4
1347 1 5 0
1348 1 5 0
1349 1 5 0
1350 1 5 0
1351 0 1 4
1352 0 1 4
1353 1 5 0
1354 1 5 0
1355 1 5 0
1356 0 1 4
1357 0 0 5
1358 1 4 1
1359 1 3 2
1360 0 0 6
1361 0 2 3
1362 1 5 0
1363 0 0 5
1364 0 0 5
1365 0 0 5
1366 1 5 0
1367 0 1 4
1368 1 5 0
1369 0 0 5
1370 0 0 5
1371 0 0 5
1372 1 5 0
1373 0 0 5
1374 1 5 0
1375 1 5 0
1376 1 5 0
1377 0 0 5
1378 1 5 0
1379 1 5 0
1380 1 5 0
1381 1 5 0
1382 1 5 0
1383 1 5 0
1384 1 5 0
1385 0 1 4
1386 1 5 0
1387 1 5 0
1388 1 3 2
1389 1 5 0
1390 1 5 0
1391 1 5 0
1392 1 3 2
1393 1 5 0
1394 0 0 5
1395 0 0 5
1396 1 5 0
1397 1 5 0
1398 1 6 0
1399 1 5 0
1400 1 3 2
1401 0 0 5
1402 0 1 4
1403 0 0 5
1404 1 5 0
1405 0 1 4
1406 1 6 0
1407 0 0 5
1408 1 5 0
1409 0 1 4
1410 0 0 6
1411 0 2 4
1412 1 3 2
1413 1 5 0
1414 1 5 0
1415 1 5 0
1416 1 5 0
1417 0 2 3
1418 1 6 0
1419 0 0 5
1420 1 5 0
1421 1 5 0
1422 0 0 5
1423 1 5 0
1424 1 5 0
1425 0 0 6
1426 0 0 5
1427 1 5 0
1428 0 0 5
1429 1 5 0
1430 1 5 0
1431 1 5 0
1432 1 5 0
1433 1 5 0
1434 0 0 6
1435 1 6 0
1436 1 5 0
1437 1 3 2
1438 0 0 5
1439 1 5 0
1440 1 5 0
1441 1 3 2
1442 0 0 5
1443 1 5 0
1444 1 5 0
1445 1 5 0
1446 1 6 0
1447 1 5 0
1448 1 5 0
1449 0 1 4
1450 1 5 0
1451 0 1 4
1452 1 4 2
1453 0 0 5
1454 1 4 1
1455 1 6 0
1456 0 2 3
1457 1 5 0
1458 0 1 4
1459 0 0 5
1460 0 0 5
1461 1 4 1
1462 1 5 0
1463 1 5 0
1464 0 1 5
1465 0 1 4
1466 0 0 5
1467 0 2 3
1468 1 5 0
1469 1 6 0
1470 0 1 4
1471 0 1 4
1472 1 6 0
1473 1 4 1
1474 1 5 0
1475 1 5 0
1476 1 4 1
1477 0 2 3
1478 0 0 5
1479 0 0 5
1480 0 0 5
1481 1 5 0
1482 0 0 5
1483 1 5 0
1484 0 0 5
1485 1 4 1
1486 1 5 0
1487 1 5 0
1488 1 5 0
1489 1 3 2
1490 1 4 1
1491 0 0 4
1492 0 0 5
1493 1 5 0
1494 0 0 5
1495 1 5 0
1496 1 5 0
1497 1 5 0
1498 1 5 0
1499 1 4 1
1500 1 5 0
1501 1 5 0
1502 0 0 5
1503 1 6 0
1504 1 5 0
1505 1 5 0
1506 0 0 5
1507 0 1 4
1508 0 1 4
1509 1 5 0
1510 1 5 0
1511 0 0 5
1512 0 2 3
1513 1 5 0
1514 1 5 0
1515 0 1 4
1516 0 0 5
1517 1 5 0
1518 1 3 2
1519 1 3 2
1520 1 5 0
1521 1 4 1
1522 1 5 0
1523 1 5 0
1524 0 1 4
1525 1 5 0
1526 1 5 0
1527 1 6 0
1528 0 1 4
1529 0 0 5
1530 1 5 0
1531 1 5 0
1532 1 5 0
1533 1 5 0
1534 1 5 0
1535 1 5 0
1536 0 0 5
1537 1 5 0
1538 1 5 0
1539 1 5 0
1540 1 5 0
1541 0 0 5
1542 1 5 0
1543 0 2 3
1544 0 2 3
1545 1 5 0
1546 1 5 0
1547 0 1 4
1548 1 5 0
1549 0 1 4
1550 1 5 0
1551 1 5 0
1552 1 5 0
1553 1 6 0
1554 1 5 0
1555 0 1 4
1556 1 5 0
1557 0 0 5
1558 0 0 5
1559 1 5 0
1560 1 5 0
1561 0 0 5
1562 1 5 0
1563 1 3 2
1564 1 5 0
1565 1 5 0
1566 1 4 1
1567 1 3 2
1568 1 5 0
1569 0 0 5
1570 1 5 0
1571 1 5 0
1572 1 5 0
1573 1 6 0
1574 1 5 0
1575 1 5 0
1576 0 0 5
1577 0 1 4
1578 1 4 1
1579 0 0 5
1580 1 5 0
1581 1 5 0
1582 0 0 5
1583 1 6 0
1584 0 1 4
1585 1 5 0
1586 1 5 0
1587 1 5 0
1588 1 5 0
1589 0 0 5
1590 1 5 0
1591 1 5 0
1592 1 5 0
1593 1 5 0
1594 1 5 0
1595 0 0 5
1596 0 2 3
1597 1 5 0
1598 1 5 0
1599 1 5 0
1600 1 5 0
1601 0 2 3
1602 1 5 0
1603 1 5 0
1604 0 2 3
1605 1 5 0
1606 0 0 5
1607 0 0 5
1608 1 4 1
1609 0 1 4
1610 0 0 5
1611 1 5 0
1612 0 0 5
1613 1 5 0
1614 0 1 4
1615 0 2 3
1616 1 5 0
1617 0 1 4
1618 1 5 0
1619 0 0 5
1620 1 5 1
1621 0 1 4
1622 1 5 0
1623 0 0 5
1624 0 0 5
1625 1 5 0
1626 0 2 3
1627 0 1 4
1628 1 5 0
1629 1 5 0
1630 1 5 0
1631 0 0 5
1632 1 5 0
1633 0 1 5
1634 0 0 5
1635 1 4 1
1636 0 0 5
1637 1 5 0
1638 1 4 1
1639 0 0 5
1640 1 4 1
1641 0 0 5
1642 1 5 0
1643 1 5 0
1644 0 1 4
1645 1 5 0
1646 0 1 4
1647 1 3 2
1648 1 3 2
1649 1 5 0
1650 1 5 0
1651 0 2 3
1652 0 0 5
1653 1 4 1
1654 0 0 5
1655 1 4 1
1656 1 5 0
1657 1 5 0
1658 1 4 2
1659 1 5 0
1660 1 5 0
1661 0 2 4
1662 1 5 0
1663 0 0 5
